A,B,C,D,E,F
33,147.27,9,101.16,-43.2633,-72.002
22,92.24,19,251.38,-0.809017,-0.587785
2,-7.97,25,341.16,-10.649,-7.45649
22,92.03,11,131.4,3.70944,5.93633
38,171.97,8,86.05,-41.7672,-81.9726
38,172.11,0,-33.64,90.6164,20.9204
5,7.44,35,491.41,-86.6026,-50
35,157.39,13,161.18,43.4151,30.3995
33,147.25,38,536.01,78.0022,46.8684
39,177.26,18,236.05,-53.4885,-73.6205
18,72.04,13,161.27,82.1897,53.3746
19,77.2,6,56.11,-35.3912,-63.8472
21,87.51,1,-18.69,-68.1514,-26.1608
15,57.18,34,476.3,-63.5817,-53.3513
31,137.14,6,56.27,-37.2391,-21.5
21,87.44,14,176.31,31.0445,47.8042
32,142.45,7,71.27,-39.3579,-21.8164
29,127.13,1,-18.81,-22.5127,-73.6354
8,22.07,1,-19,68.3373,65.9925
20,82.04,36,506.44,-24.2835,-66.7182
34,152.47,32,446.38,-66.6872,-69.0566
13,47.25,30,416.1,-8.45723,-3.07818
7,16.97,33,460.97,51.6043,63.7259
29,127.39,6,56.07,33.2122,78.2429
1,-12.77,21,281.14,-14.7917,-31.7208
34,152.08,12,146.43,20.1383,24.8687
8,22.35,36,506.07,4.82209,9.88673
35,157.27,39,551.17,10.8929,1.5309
29,126.97,28,386.04,-21.7272,-53.7766
29,127.01,11,131.19,6.30254,11.3701
4,2.45,8,86.13,-43.1263,-32.498
24,102.31,30,415.98,13.4206,19.8969
20,82.48,12,146.29,-90.2105,-32.8339
17,67.1,15,191.02,-66.323,-44.7354
11,36.99,13,160.99,-87.7004,-39.0467
11,37.46,27,371.36,18.5,32.0429
23,97.19,0,-33.69,2.26413,1.96818
27,117.32,20,266.08,11.9571,14.7658
26,112.46,9,101.1,14.539,21.555
3,-2.66,15,191.05,46.3323,23.6075
7,17.4,13,161.03,31.2738,67.0667
12,42.54,32,446.01,33.3325,62.6893
32,143.36,3,11.21,-13.618,-35.476
20,82.26,3,11.38,9.54798,10.2389
3,-2.94,19,251.35,-15.2825,-15.8255
30,132.54,14,176.4,35.0773,8.09823
34,152.37,18,236.35,-19.2884,-39.5469
26,112.17,20,265.98,-48.5621,-25.8209
15,57.34,4,26.28,17.25,56.422
13,47.51,20,266.41,-7.26386,-14.2561
28,122.04,7,71.11,-35,-60.6218
15,57.13,35,491.5,24.9062,39.8582
22,92.5,4,26.52,-15.2824,-21.0344
30,132.38,18,236.03,-15.6504,-3.32658
16,62.46,3,11.53,-33.1286,-7.64833
6,12.31,35,491.11,-50.8637,-10.8114
21,87.2,26,356.34,25.4733,63.0485
12,42.4,18,236.53,-71.7188,-39.7544
17,67.17,5,41.33,82.2422,25.1439
13,47.19,11,131.06,-17.4098,-11.743
